accounts,child_of
Cash,Asset
Chequing,Asset
Savings,Asset
Investments,Asset
Visa,Liability
Student Credit,Liability
Credit Line,Liability
Uncategorized,Admin
Info,Admin
Commission Expense,Expense
Investment Gain,Revenue
Investment Loss,Expense
Unrealized Gain,Revenue
Unrealized Loss,Expense
Interest Expense,Expense
Dividend Receivable,Asset
Dividend Income,Revenue
Interest Income,Revenue
Salary,Revenue
Salary MM,Salary
Salary ME,Salary
Overtime,Revenue
Bonus,Revenue
Gifts,Revenue
Tax Refund,Revenue
HST Rebate,Revenue
Rent,Expense
Power,Expense
Food,Expense
Groceries,Food
Hygiene,Food
Cleaning,Food
Internet,Expense
Cellphone,Expense
Transportation,Expense
Car Payment,Transportation
Fuel,Transportation
Car Insurance,Transportation
Bus,Transportation
Car Maintenance,Transportation
Car Periodic Service,Car Maintenance
Car Repairs,Car Maintenance
Car Wash,Car Maintenance
Parking,Transportation
Home Parking,Parking
City Parking,Parking
Tolls,Transportation
Other Bills,Expense
Tenants Insurance,Other Bills
Haircut,Other Bills
Laundry,Other Bills
Netflix,Other Bills
iCloud,Other Bills
Spotify,Other Bills
Gym,Other Bills
Credit Card Fee,Other Bills
Website Hosting,Other Bills
Domain Name,Other Bills
Apple Dev,Other Bills
iTunes Match,Other Bills
Education,Expense
Tuition,Education
Education Books,Education
Education Interest,Education
Professional Fee,Education
Medical,Expense
Items,Expense
Electronics,Items
Clothing,Items
Furniture,Items
Housewears,Items
Gear,Items
Digital,Expense
Games,Digital
Music,Digital
Apps,Digital
Books,Digital
Leisure,Expense
Lunch,Leisure
Liquor,Leisure
Bar,Leisure
Eat Out,Leisure
Restaraunt,Eat Out
Fast Food,Eat Out
Delivery,Eat Out
Snacks,Eat Out
Cafe,Eat Out
Gift Given,Leisure
Activities,Leisure
Travel,Leisure
Flight,Travel
Accomodation,Travel
Travel Eating,Travel
Travel Fuel,Travel
Travel Transport,Travel
Travel Activities,Travel
Travel Bar,Travel
Travel Other,Travel
Leisure Interest,Leisure
One-Off,Leisure
Other Leisure,Leisure
Savings Expense,Expense
