txn_id,event_id,entity_id,date,description,item_id,price,qty,debit_acct,credit_acct,amount
1,1,1,2015-05-31,Plug to true up balances - Cash,,1025.58,1,Chequing,Wealth,1025.58
2,2,1,2015-05-31,Plug to true up balances - Savings,,2047.67,1,Savings,Wealth,2047.67
3,3,1,2015-05-31,Plug to true up balances - Investment,,4150,1,Investment,Wealth,4150
4,4,1,2015-05-31,Plug to true up balances - Credit Card,,22.63,1,Wealth,Visa,22.63
5,5,1,2015-05-31,Plug to true up balances - Student Credit,,7500,1,Wealth,Student Credit,7500
6,6,1,2015-05-31,Plug to true up balances - Line of Credit | LoC,,1500,1,Wealth,Credit Line,1500
7,7,1,2015-06-01,LAWTONS DRUGS 114 HALIFAX NS | (No longer getting bus passes),,78,1,Bus,Visa,78
8,8,1,2015-06-01,SUBWAY #60595 HALIFAX NS,,8.35,1,Lunch,Visa,8.35
9,9,1,2015-06-01,APPLE STORE #R514 902-442-3495 NS,,28.69,1,Electronics,Visa,28.69
10,10,1,2015-06-02,MAMA GRATTI'S DELI & MARKHALIFAX NS,,5.18,1,Lunch,Visa,5.18
11,11,1,2015-06-03,SUPERSTORE HALIFAX STH HALIFAX NS,,29.45,1,Food,Visa,29.45
12,12,1,2015-06-03,MAMA GRATTI'S DELI & MARKHALIFAX NS,,5.18,1,Lunch,Visa,5.18
13,13,1,2015-06-03,EDNA HALIFAX NS,,44.86,1,Restaraunt,Visa,44.86
14,14,1,2015-06-03,OBLADEE A WINE BAR HALIFAX NS,,24.84,1,Bar,Visa,24.84
15,15,1,2015-06-04,MCDONALD'S #40487 HALIFAX NS,,10.01,1,Fast Food,Visa,10.01
16,16,1,2015-06-04,Cheque,,875,1,Rent,Chequing,875
17,17,1,2015-06-04,Withdrawal | PTB WD --- 11270911,,22.25,1,Other Leisure,Chequing,22.25
18,18,1,2015-06-04,INTERAC-SC-0911,,1.5,1,Other Leisure,Chequing,1.5
19,19,1,2015-06-06,GIGANTIC VIDEO I 95 LTD HALIFAX NS,,13.34,1,Snacks,Visa,13.34
20,20,1,2015-06-07,SOBEYS 574 QPS HALIFAX NS,,23.11,1,Food,Visa,23.11
