symbol,EBITDA,EPSSurpriseDollar,EPSSurprisePercent,beta,cash,companyName,consensusEPS,day200MovingAvg,day30ChangePercent,day50MovingAvg,day5ChangePercent,debt,dividendRate,dividendYield,exDividendDate,float,grossProfit,insiderPercent,institutionPercent,latestEPS,latestEPSDate,marketcap,month1ChangePercent,month3ChangePercent,month6ChangePercent,numberOfEstimates,peRatioHigh,peRatioLow,priceToBook,priceToSales,profitMargin,returnOnAssets,returnOnCapital,returnOnEquity,revenue,revenuePerEmployee,revenuePerShare,sharesOutstanding,shortDate,shortInterest,shortRatio,ttmEPS,week52change,week52high,week52low,year1ChangePercent,year2ChangePercent,year5ChangePercent,ytdChangePercent
A,865000000,,0,1.333347,8128000000,Agilent Technologies Inc.,0.65,66.90811,0.060812860175917006,66.4754,0.014797620774698001,6237000000,0.596,0.8520371999999999,2018-10-01 00:00:00.0,315024508,1916000000,,79.5,2.1,2017-10-31,22297929813,0.058565375302663,0.145733351241388,0.030431234366759003,10,46.2,10.9,4.94,4.6877484,6.73,3.61,,6.54,3514000000,242345,11,318769547,2018-08-31,4233272,1.73,2.5700000000000003,7.2911,75,60.42,0.090314515601083,0.530832208096887,0.982462504676287,0.039576738448734
AA,940000000,,14.2857,0.634392,1119000000,Alcoa Corporation,1.33,47.7651,-0.056017997750281004,43.0154,-0.026901669758812002,1401000000,0,0,0,186017718,1418000000,,80.6,1.16,2017-12-31,7824408758,-0.043537725096877006,-0.051965657478535,-0.083242298448765,5,0,0,1.63,0.6375931,4.7,0.84,,2.56,6138000000,420411,33,186473040,2018-08-31,8470942,2.47,4.05,-7.5364003,62.35,40.03,-0.073526164716272,0.871601700320705,0.871601700320705,-0.239441725575493
AAAU,0,,0,0,0,Perth Mint Physical Gold,0,,0.022146507666098002,,0.0016694490818020002,0,0,0,0,100000,0,,,0,0,1200000,-0.008264462809917,0.022146507666098002,0.022146507666098002,0,0,0,,,,,,,0,NaN,0,100000,0,0,,0,0,12.13,11.7394,0.022146507666098002,0.022146507666098002,0.022146507666098002,0.022146507666098002
AABA,0,,0,1.807178,0,Altaba Inc.,0,73.4045,-0.037179487179487006,69.9576,0.040166204986149,0,0,0,0,588918384,0,,67,22.63,2017-12-31,40926298968,-0.045878035008469,-0.10429366551815501,-0.10842896715472801,0,0,0,0.66,1.8613327,95.27,24.1,,32.69,0,0,0,605508196,2018-08-31,24719649,1.63,0,0.3713,82.45,62.802,0.04048645320197,0.59825017734689,1.156668793873644,-0.07575550389716901
AAC,9890000,,-50,1.277623,16412000,AAC Holdings Inc.,0.18,9.85925,-0.22954303931987202,8.9318,0.001381215469613,227006000,0,0,0,9509214,0,,47.5,-0.88,2017-12-31,178325894,-0.22542735042735002,-0.26988922457200404,-0.40960912052117204,2,0,0,1.17,0.5587134,-8.43,-4.58,,-13.04,80424000,38297,3,24596675,2018-08-31,2190703,8.31,0.44,-25.793201,12.96,6.72,-0.284304047384007,-0.570751924215512,-0.608108108108108,-0.217907227615965
AADR,0,,0,1.106962,0,AdvisorShares Dorsey Wright ADR,0,57.00821,0.011982991882489,52.27434,0.028279654359780002,0,0.73204,1.3980901000000001,2018-06-25 00:00:00.0,3625000,0,,,0,0,189805000,-0.009646302250803,-0.031088082901554,-0.113421438065646,0,0,0,2.96,,,2.66,,10.95,0,NaN,0,3625000,2013-01-15,2867,1.0166667,0,-4.9734,64,47.31,-0.026081521961526,0.33030821178222103,0.5177999437637141,-0.127026337595387
AAL,2802000000,,2.5157,1.097066,10834000000,American Airlines Group Inc.,1.5899999999999999,45.93072,0.14107094319108401,39.11604,0.029173817112037002,49749000000,0.4,0.95283467,2018-08-06 00:00:00.0,449506141,12416000000,,77.9,4.25,2017-12-31,19332176888,0.06224696356275201,0.060725123620716005,-0.18650190003546202,8,0,0,6.19,0.50869524,4.08,2.74,,100.19,21478000000,163207,47,460509216,2018-08-31,26090365,4.69,4.75,-9.9837,59.08,35.64,-0.11191406002090101,0.22362487940095402,1.278438417576214,-0.20231969536896902
AAMC,0,,0,1.366676,0,Altisource Asset Management Corp Com,0,66.75618,-0.09775280898876401,63.30688,-0.020731707317073002,0,0,0,0,1460558,0,9.5,39.6,-4.57,2017-12-31,97159065,-0.040239043824701004,-0.134698275862068,0.027730375426621,0,0,0,335.5,5.846309,-56.7,-16.76,,2.9699999999999998,0,0,0,1613268,2018-08-31,36946,48.11,0,-32.2934,93.8,55,-0.29147058823529404,2.898058252427185,-0.8732745560138031,-0.227389352148813
AAME,0,,0,0.542423,0,Atlantic American Corporation,0,3.0218,0.104166666666666,2.65937,-0.101694915254237,0,0.02,0.754717,2018-04-12 00:00:00.0,16384957,0,19.1,5,0.2,2017-12-31,53661130,0.059999999999999006,0.059999999999999006,-0.179591963097117,0,38.7,6.7,0.5,0.28674802,0.79,0.31,,1.01,0,0,0,20249483,2018-08-31,555,0.23,0,-19.2024,4,2.2,-0.179591963097117,-0.21643997634535703,-0.318450696980608,-0.179591963097117
AAN,871337000,,10.526299999999999,0.020055,220568000,Aaron's Inc.,0.76,44.19988,0.175601556204455,48.52653,0.034305317324185,0,0.12,0.22111663,2018-09-19 00:00:00.0,65734751,1597810000,,99.4,4.06,2017-12-31,3938824395,0.10931687175503801,0.206689153583268,0.17538768084553402,6,0,10.7,2.2,1.1167873,8.04,11.24,,17.68,1723510000,144833,24,72578301,2018-08-31,2923824,5.77,2.73,39.4225,56,34.29,0.38043129893319905,1.184501191472918,1.020905404348652,0.377568504016956
