symbol,avgTotalVolume,calculationPrice,change,changePercent,close,closeTime,companyName,delayedPrice,delayedPriceTime,high,iexAskPrice,iexAskSize,iexBidPrice,iexBidSize,iexLastUpdated,iexMarketPercent,iexRealtimePrice,iexRealtimeSize,iexVolume,latestPrice,latestSource,latestTime,latestUpdate,latestVolume,low,marketCap,open,openTime,peRatio,previousClose,primaryExchange,sector,week52High,week52Low,ytdChange
A,2473281,close,-0.02,-0.0003,67.37,1.52581E+12,Agilent Technologies Inc.,67.37,1.52581E+12,67.435,0,0,0,0,1.52581E+12,0.03887,67.38,100,36952,67.37,Close,08-May-18,1.52581E+12,950656,66.84,21725247127,67.08,1.52579E+12,26.95,67.39,New York Stock Exchange,Healthcare,75,55.6,-0.000882141
AA,5052951,close,-0.79,-0.01448,53.76,1.52581E+12,Alcoa Corporation,53.78,1.52581E+12,54.65,0,0,0,0,1.52581E+12,0.03195,53.76,100,74988,53.76,Close,08-May-18,1.52581E+12,2347042,53.44,9903954332,54.26,1.52579E+12,17.07,54.55,New York Stock Exchange,Basic Materials,62.35,29.55,-0.011237992
AABA,7275440,close,0.71,0.00943,76.04,1.52581E+12,Altaba Inc.,76.04,1.52581E+12,76.39,0,0,0,0,1.52581E+12,0.02773,76.03,100,87740,76.04,Close,08-May-18,1.52581E+12,3164082,75.04,61584173841,75.04,1.52579E+12,,75.33,Nasdaq Global Select,Financial Services,80.56,47.74,0.030083413
AAC,114211,close,-0.09,-0.00766,11.66,1.52581E+12,AAC Holdings Inc.,11.66,1.52581E+12,11.85,0,0,0,0,1.52581E+12,0.05975,11.67,78,5827,11.66,Close,08-May-18,1.52581E+12,97523,11.62,287002668,11.79,1.52579E+12,19.11,11.75,New York Stock Exchange,Healthcare,13.0551,5.99,0.267529666
AADR,29716,close,-0.281,-0.00486,57.479,1.52581E+12,AdvisorShares Dorsey Wright ADR,57.479,1.52581E+12,57.8,0,0,0,0,0,0,0,0,0,57.479,Close,08-May-18,1.52581E+12,21490,56.966,257218525,57.8,1.52579E+12,,57.76,NYSE Arca,,64,45.8121,-0.041884383
AAL,6042994,close,0.56,0.0132,43,1.52581E+12,American Airlines Group Inc.,43,1.52581E+12,44.01,0,0,0,0,1.52581E+12,0.04613,43,100,309941,43,Close,08-May-18,1.52581E+12,6718860,42.33,20130563907,42.33,1.52579E+12,8.53,42.44,Nasdaq Global Select,Industrials,59.08,40.65,-0.19567743
AAMC,1880,previousclose,0,0,65.5,1.52572E+12,Altisource Asset Management Corp Com,65.8,1.52581E+12,,0,0,0,0,0,0,0,0,0,65.5,Previous close,07-May-18,1.52565E+12,54,,105518011,66.15,1.52579E+12,,65.5,NYSE American,Financial Services,116,55,-0.159717768
AAME,1510,close,0.02,0.00639,3.15,1.52581E+12,Atlantic American Corporation,3.15,1.52581E+12,3.25,0,0,0,0,0,0,0,0,0,3.15,Close,08-May-18,1.52581E+12,1222,3.15,64261405,3.25,1.52579E+12,,3.13,NASDAQ Global Market,Financial Services,4,3,-0.030989753
AAN,808637,close,-1.03,-0.02552,39.33,1.52581E+12,Aaron's Inc.,39.33,1.52581E+12,40.68,0,0,0,0,1.52581E+12,0.02934,39.29,100,28318,39.33,Close,08-May-18,1.52581E+12,965167,39.18,2854504578,40.14,1.52579E+12,15.3,40.36,New York Stock Exchange,Industrials,49.77,34.025,0.023196856
AAOI,1335627,close,1.49,0.04429,35.13,1.52581E+12,Applied Optoelectronics Inc.,33.6,1.52581E+12,35.74,0,0,0,0,1.52581E+12,0.02236,35.12,24,48195,35.13,Close,08-May-18,1.52581E+12,2155411,33.766,686366532,33.89,1.52579E+12,8.32,33.64,NASDAQ Global Market,Technology,103.41,22.54,-0.112635189
AAON,215400,close,0.8,0.02694,30.5,1.52581E+12,AAON Inc.,30.5,1.52581E+12,30.75,0,0,0,0,1.52581E+12,0.04835,30.5,100,11050,30.5,Close,08-May-18,1.52581E+12,228542,29.05,1597048046,29.75,1.52579E+12,36.31,29.7,Nasdaq Global Select,Basic Materials,40.25,29.05,-0.196211096
AAP,1082131,close,0.66,0.00568,116.8,1.52581E+12,Advance Auto Parts Inc W/I,116.8,1.52581E+12,118.97,0,0,0,0,1.52581E+12,0.02591,116.79,1,23700,116.8,Close,08-May-18,1.52581E+12,914705,116.31,8644034653,118.81,1.52579E+12,21.71,116.14,New York Stock Exchange,Consumer Cyclical,151.72,78.81,0.095301821
AAPL,35926150,close,0.89,0.00481,186.05,1.52581E+12,Apple Inc.,186.03,1.52581E+12,186.22,0,0,0,0,1.52581E+12,0.02621,185.99,400,582686,186.05,Close,08-May-18,1.52581E+12,22231438,183.665,9.14461E+11,185,1.52579E+12,19.12,185.16,Nasdaq Global Select,Technology,187.67,142.2,0.079269412
AAT,312474,close,0.02,0.00057,34.95,1.52581E+12,American Assets Trust Inc.,34.95,1.52581E+12,35.07,0,0,0,0,1.52581E+12,0.03452,34.965,12,9114,34.95,Close,08-May-18,1.52581E+12,264021,34.64,1649761766,34.92,1.52579E+12,17.65,34.93,New York Stock Exchange,Real Estate,41.69,30.62,-0.077124687
AAU,142347,close,-0.0034,-0.00421,0.8033,1.52581E+12,Almaden Minerals Ltd.,0.8033,1.52581E+12,0.85,0,0,0,0,0,0,0,0,0,0.8033,Close,08-May-18,1.52581E+12,57879,0.803,82096959,0.85,1.52579E+12,,0.8067,NYSE American,Basic Materials,1.53,0.713,-0.216796117
AAV,332592,close,0.05,0.01695,3,1.52581E+12,Advantage Oil & Gas Ltd,3,1.52581E+12,3.1,0,0,0,0,1.52581E+12,0.0221,3,100,6910,3,Close,08-May-18,1.52581E+12,312670,2.85,557889558,2.9,1.52579E+12,21.43,2.95,New York Stock Exchange,Energy,7.35,2.7,-0.344444444
AAWW,226601,close,0.3,0.00443,68.05,1.52581E+12,Atlas Air Worldwide Holdings,68.05,1.52581E+12,68.55,0,0,0,0,1.52581E+12,0.03844,68.1,100,11716,68.05,Close,08-May-18,1.52581E+12,304787,67.25,1739480354,67.4,1.52579E+12,12.46,67.75,Nasdaq Global Select,Industrials,68.7,45.45,0.169111303
AAXJ,803638,close,0.57,0.00755,76.04,1.52581E+12,iShares MSCI All Country Asia ex Japan Index Fund,76.04,1.52581E+12,76.08,0,0,0,0,1.52581E+12,0.02755,75.98,100,17342,76.04,Close,08-May-18,1.52581E+12,629474,75.47,4790520000,75.8,1.52579E+12,,75.47,NASDAQ Global Market,,83.52,64.52,-0.030945044
AAXN,922951,close,-0.28,-0.00623,44.65,1.52581E+12,Axon Enterprise Inc.,47.5,1.52581E+12,45.25,0,0,0,0,1.52581E+12,0.03927,44.65,100,40223,44.65,Close,08-May-18,1.52581E+12,1024268,44.25,2380157327,44.73,1.52579E+12,178.6,44.93,Nasdaq Global Select,Industrials,45.5,20.57,0.692278719
AB,296771,close,-0.1,-0.0037,26.9,1.52581E+12,AllianceBernstein Holding L.P. Units,26.5,1.52581E+12,27.25,0,0,0,0,1.52581E+12,0.03356,26.8,198,9308,26.9,Close,08-May-18,1.52581E+12,277354,26.8,2626616687,27.05,1.52579E+12,10.47,27,New York Stock Exchange,Financial Services,28.15,20.6,0.135565491
ABAC,11286,close,0.0523,0.02237,2.39,1.52581E+12,Renmin Tianli Group Inc.,2.39,1.52581E+12,2.4,0,0,0,0,1.52581E+12,0.00825,2.32,100,100,2.39,Close,08-May-18,1.52581E+12,12121,2.23,19081151,2.36,1.52579E+12,,2.3377,NASDAQ Capital Market,Consumer Defensive,4.76,1.65,-0.162114695
ABAX,137567,close,-0.5,-0.00727,68.27,1.52581E+12,ABAXIS Inc.,68.27,1.52581E+12,68.71,0,0,0,0,1.52581E+12,0.0278,68.255,100,2092,68.27,Close,08-May-18,1.52581E+12,75252,65.51,1549592460,68.71,1.52579E+12,54.62,68.77,Nasdaq Global Select,Healthcare,78.53,43.66,0.378625985
ABB,2741100,close,0.24,0.01014,23.92,1.52581E+12,ABB Ltd,23.878,1.52581E+12,23.955,0,0,0,0,1.52581E+12,0.01442,23.905,20,20513,23.92,Close,08-May-18,1.52581E+12,1422538,23.765,50920054399,23.83,1.52579E+12,18.69,23.68,New York Stock Exchange,Industrials,28.67,21.92,-0.091414868
ABBV,7389362,close,-0.23,-0.00231,99.4,1.52581E+12,AbbVie Inc.,99.4,1.52581E+12,99.78,0,0,0,0,1.52581E+12,0.04047,99.45,100,177457,99.4,Close,08-May-18,1.52581E+12,4384902,98.7,1.57717E+11,99.13,1.52579E+12,16.08,99.63,New York Stock Exchange,Healthcare,125.86,64.61,0.030221059
ABC,1689899,close,0,0,84.69,1.52581E+12,AmerisourceBergen Corporation,84.69,1.52581E+12,85.47,0,0,0,0,1.52581E+12,0.1076,84.695,100,133601,84.69,Close,08-May-18,1.52581E+12,1241645,83.765,18615206604,84.58,1.52579E+12,13.93,84.69,New York Stock Exchange,Healthcare,106.27,71.9,-0.095906117
ABCB,204028,close,1.3,0.02412,55.2,1.52581E+12,Ameris Bancorp,55.2,1.52581E+12,55.2,0,0,0,0,1.52581E+12,0.03455,55.2,100,6609,55.2,Close,08-May-18,1.52581E+12,191288,53.7,2115654871,53.7,1.52579E+12,21.07,53.9,Nasdaq Global Select,Financial Services,59.05,41.05,0.112314915
