symbol,EBITDA,EPSSurpriseDollar,EPSSurprisePercent,beta,cash,companyName,consensusEPS,day200MovingAvg,day30ChangePercent,day50MovingAvg,day5ChangePercent,debt,dividendRate,dividendYield,exDividendDate,float,grossProfit,insiderPercent,institutionPercent,latestEPS,latestEPSDate,marketcap,month1ChangePercent,month3ChangePercent,month6ChangePercent,numberOfEstimates,peRatioHigh,peRatioLow,priceToBook,priceToSales,profitMargin,returnOnAssets,returnOnCapital,returnOnEquity,revenue,revenuePerEmployee,revenuePerShare,sharesOutstanding,shortDate,shortInterest,shortRatio,ttmEPS,week52change,week52high,week52low,year1ChangePercent,year2ChangePercent,year5ChangePercent,ytdChangePercent
A,1130000000,,13.7931,1.31263,10517000000,Agilent Technologies Inc.,0.58,66.76794,0.028344762,67.48746,0.026982213,8280000000,0.596,0.8747982,00:00.0,318782083,2508000000,,91.1,2.1,2017-10-31,21970329327,0.045098942,0.019440138,0.014276995,10,46.2,10.9,4.8,6.1824837,0.95,2.21,,4.14,4616000000,334493,14,322476579,2018-04-13,4587637,1.8290234,2.5,20.8492,75,55.6,0.208490832,0.680404895,1.294650195,0.01008903
AA,1392000000,,28.3333,1.014332,2073000000,Alcoa Corporation,0.6,46.81205,0.204187303,49.9326,0.003941441,2838000000,0,0,0,183799102,1968000000,,88.4,1.16,2017-12-31,9854213490,0.056696958,0.164851916,0.234479575,5,0,0,2.19,0.819389,4.21,0.75,,2.28,8997000000,616233,49,184225341,2018-04-13,6979299,1.8633422,3.15,73.5561,62.35,29.55,0.735561324,1.385890728,1.385890728,-0.030451332
AABA,0,,0,1.964082,0,Altaba Inc.,0,69.8347,0.04529185,72.969,0.07885763,0,0,0,0,793300744,0,,78,-0.22,2016-12-31,61495085741,0.109438925,0.077326901,0.081778031,0,0,0,1.74,,,-0.03,,-0.05,0,0,0,809891818,2018-04-13,25971974,3.976113,0,53.4249,80.56,47.74,0.534249343,1.042227004,1.830040999,0.03828798
AAC,20887000,,30,1.33467,27205000,AAC Holdings Inc.,0.1,9.59625,0.015971606,11.411,-0.022203245,439976000,0,0,0,9960084,0,,64.9,-0.88,2017-12-31,281833666,0.003505697,0.429463171,0.052389706,2,0,0,1.9,0.8954143,-7.87,-4.24,,-11.85,158466000,75460,6,24614294,2018-04-13,2215397,19.971127,0.61,61.495102,13.0551,5.99,0.614950635,-0.468183929,-0.381081081,0.235167206
AADR,0,,0,1.106962,0,AdvisorShares Dorsey Wright ADR,0,57.11155,0.007135399,59.16872,0.010476689,0,0.5975867,1.0326364,00:00.0,4475000,0,,,0,0,258968250,-0.00086326,0.017657331,0.019082034,0,0,0,2.63,,,6.1,,18.1,0,NaN,0,4475000,2013-01-15,2867,1.0166667,0,22.116098,64,45.8121,0.221161739,0.545817584,0.706556101,-0.040059716
AAL,4755000000,,1.3514,1.391609,17720000000,American Airlines Group Inc.,0.74,49.55942,-0.181966198,49.33816,-0.012182292,74608000000,0.4,0.96385545,00:00.0,456920463,19150000000,,81.8,4.13,2017-12-31,19428334934,-0.165053779,-0.139846457,-0.087430733,9,0,0,6.19,0.5254238,6.01,3.49,,46.56,32583000000,253367,70,468152649,2018-04-13,24087333,5.0620027,5.04,-10.9109,59.08,40.65,-0.10910941,0.283200891,1.426148621,-0.213492303
AAMC,0,,0,1.903553,0,Altisource Asset Management Corp Com,0,76.22956,-0.016091954,62.96407,0.005481597,0,0,0,0,1459266,0,9.5,41.7,-4.57,2017-12-31,103423760,0.032984714,-0.050295858,-0.236168947,0,0,0,335.5,8.024794,-42.98,-11.38,,1.62,0,0,0,1610962,2018-04-13,42635,44.73767,0,-14.966901,116,55,-0.149668874,2.666476299,-0.770714286,-0.176395125
AAME,0,,0,0.518311,0,Atlantic American Corporation,0,3.37499,-0.025279839,3.2519,-0.060606061,0,0.02,0.6451613,00:00.0,16535920,0,18.9,4.9,0.2,2017-12-31,63241383,-0.054820416,0.006166829,-0.108836888,0,38.7,6.7,0.57,0.46818987,3.46,1.25,,3.78,0,0,0,20400446,2018-04-13,15124,10.756757,0,-16.8242,4,3,-0.168231822,-0.235398579,-0.073299055,-0.040277391
AAN,1298944000,,-14.7368,0.063603,503155000,Aaron's Inc.,0.95,42.11946,-0.12749616,45.69634,-0.017786561,0,0.12,0.30181086,00:00.0,65449101,2347696000,,,4.06,2017-12-31,2885713248,-0.137527115,0.00824141,0.11783675,7,0,0,1.58,0.82620156,9.67,10.31,,17.12,2539154000,213374,35,72578301,2018-04-13,3983913,6.0058208,2.57,10.1718,49.77,34.025,0.101717693,0.56408582,0.404827859,0.007985803
AAOI,62187000,,-26.087,2.542388,145833000,Applied Optoelectronics Inc.,0.23,44.2619,0.364059197,28.5954,0.003733665,68375000,0,0,0,18219384,92654000,,69.8,3.66,2017-12-31,630292751,0.324302135,0.050130208,-0.253240741,4,0,0,2.06,2.3990023,18.86,18.02,,24.96,206250000,67534,11,19537903,2018-04-13,14513825,11.988981,3.37,-48.0599,103.41,22.54,-0.480598937,2.144249513,2.238955823,-0.149037193
AAON,49671000,,-66.6667,0.703793,81141000,AAON Inc.,0.24,34.89352,-0.218911917,35.829,-0.047393365,0,0.26,0.8623549,00:00.0,40531983,67336000,,76.2,1.03,2017-12-31,1578721265,-0.115835777,-0.09186747,-0.092676409,1,0,0,6.67,3.9061959,11.73,15.81,,20.03,214994000,107983,4,52362231,2018-04-13,3170763,14.157909,0.84,-17.9263,40.25,29.05,-0.179263542,0.10144631,1.343658906,-0.184032476
AAP,684540000,,0,1.063813,746619000,Advance Auto Parts Inc W/I,1.98,103.60514,0.017330574,113.61114,0.022177943,1073892000,0.24,0.20340706,00:00.0,70678603,3211480000,,98.9,6.42,2017-12-31,8732103157,0.069234255,0.081652428,0.468284239,11,0,0,2.53,1.3333498,5.79,5.29,,14.11,7336798000,103335,99,74007146,2018-04-13,5524516,5.428433,5.38,-19.0694,151.72,78.81,-0.190694669,-0.218383068,0.394295195,0.11274894
AAPL,61840000000,,1.8325,1.274041,2.28093E+11,Apple Inc.,3.82,166.35774,0.125420471,173.4804,0.059189327,3.46419E+11,2.92,1.558497,00:00.0,4905472700,71331000000,,66.2,9.2,2017-09-30,9.209E+11,0.10179359,0.197877374,0.073460667,9,114.1,0,7.21,3.6960335,21.09,14.13,,37.81,1.8628E+11,1514472,38,4915138000,2018-04-13,56206108,1.7210069,9.73,23.5951,187.67,142.2,0.235951573,1.081814788,2.159746289,0.092092877
AAT,135554000,,2,0.433156,208197000,American Assets Trust Inc.,0.5,36.73015,0.029334116,33.2433,0.034797995,3874807000,1.08,3.0778,00:00.0,46666663,136469000,1.1,99.8,0.62,2017-12-31,1656370254,0.031452087,0.076634665,-0.096233491,4,108.1,30.1,2,5.1978683,9.18,0.98,,2.56,241191000,1236877,5,47203484,2018-04-13,323964,0.83646786,1.98,-9.8295,41.69,30.62,-0.098295782,-0.12374455,0.140948981,-0.072897374
