,date,iexId,isEnabled,name,symbol,type
0,2018-09-26,2,True,Agilent Technologies Inc.,A,cs
1,2018-09-26,12042,True,Alcoa Corporation,AA,cs
2,2018-09-26,14924,True,Perth Mint Physical Gold,AAAU,N/A
3,2018-09-26,7653,True,Altaba Inc.,AABA,cs
4,2018-09-26,9169,True,AAC Holdings Inc.,AAC,cs
5,2018-09-26,5,True,AdvisorShares Dorsey Wright ADR,AADR,et
6,2018-09-26,8148,True,American Airlines Group Inc.,AAL,cs
7,2018-09-26,7760,True,Altisource Asset Management Corp Com,AAMC,cs
8,2018-09-26,7,True,Atlantic American Corporation,AAME,cs
9,2018-09-26,8,True,Aaron's Inc.,AAN,cs
10,2018-09-26,7790,True,Applied Optoelectronics Inc.,AAOI,cs
11,2018-09-26,9,True,AAON Inc.,AAON,cs
12,2018-09-26,10,True,Advance Auto Parts Inc W/I,AAP,cs
13,2018-09-26,11,True,Apple Inc.,AAPL,cs
14,2018-09-26,12,True,American Assets Trust Inc.,AAT,cs
15,2018-09-26,13,True,Almaden Minerals Ltd.,AAU,cs
16,2018-09-26,15,True,Atlas Air Worldwide Holdings,AAWW,cs
17,2018-09-26,16,True,iShares MSCI All Country Asia ex Japan Index Fund,AAXJ,et
18,2018-09-26,6667,True,Axon Enterprise Inc.,AAXN,cs
19,2018-09-26,17,True,AllianceBernstein Holding L.P. Units,AB,cs
20,2018-09-26,5129,True,Renmin Tianli Group Inc.,ABAC,cs
21,2018-09-26,19,True,ABB Ltd,ABB,cs
22,2018-09-26,20,True,AbbVie Inc.,ABBV,cs
23,2018-09-26,21,True,AmerisourceBergen Corporation,ABC,cs
24,2018-09-26,22,True,Ameris Bancorp,ABCB,cs
25,2018-09-26,23,True,Cambium Learning Group Inc.,ABCD,cs
26,2018-09-26,8607,True,Alcentra Capital Corp.,ABDC,cs
27,2018-09-26,9600,True,Abeona Therapeutics Inc.,ABEO,cs
28,2018-09-26,9607,True,,ABEOW,N/A
29,2018-09-26,36,True,Ambev S.A. American Depositary Shares (Each representing 1),ABEV,cs
30,2018-09-26,26,True,Asbury Automotive Group Inc,ABG,cs
31,2018-09-26,10960,True,Ability Inc.,ABIL,cs
32,2018-09-26,28,True,ARCA biopharma Inc.,ABIO,cs
33,2018-09-26,29,True,ABM Industries Incorporated,ABM,cs
34,2018-09-26,30,True,ABIOMED Inc.,ABMD,cs
35,2018-09-26,31,True,Arbor Realty Trust,ABR,cs
36,2018-09-26,32,True,Arbor Realty Trust Preferred Series A,ABR-A,ps
37,2018-09-26,33,True,Arbor Realty Trust Cumulative Redeemable Preferred Series B,ABR-B,ps
38,2018-09-26,8310,True,Arbor Realty Trust Cumulative Redeemable Preferred Series C,ABR-C,ps
39,2018-09-26,34,True,Abbott Laboratories,ABT,cs
40,2018-09-26,10446,True,Allegiance Bancshares Inc.,ABTX,cs
41,2018-09-26,6816,True,Arbutus Biopharma Corporation,ABUS,cs
42,2018-09-26,39,True,Barrick Gold Corporation,ABX,cs
43,2018-09-26,10827,True,Associated Capital Group Inc.,AC,cs
44,2018-09-26,41,True,ACADIA Pharmaceuticals Inc.,ACAD,cs
45,2018-09-26,10459,True,Atlantic Capital Bancshares Inc.,ACBI,cs
46,2018-09-26,44,True,American Campus Communities Inc,ACC,cs
47,2018-09-26,46,True,Acco Brands Corporation,ACCO,cs
48,2018-09-26,5176,True,Acer Therapeutics Inc.,ACER,cs
49,2018-09-26,14783,True,ALPS Clean Energy,ACES,N/A
50,2018-09-26,49,True,Aceto Corporation,ACET,cs
51,2018-09-26,53,True,Arch Capital Group Ltd.,ACGL,cs
52,2018-09-26,14574,True,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of5.45% Non-Cumulative Preferred Shares Series F,ACGLO,ps
53,2018-09-26,14575,True,Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,ACGLP,ps
54,2018-09-26,54,True,Aluminum Corporation of China Limited American Depositary Shares,ACH,cs
55,2018-09-26,55,True,Acadia Healthcare Company Inc.,ACHC,cs
56,2018-09-26,56,True,Achillion Pharmaceuticals Inc.,ACHN,cs
57,2018-09-26,5116,True,Achieve Life Sciences Inc.,ACHV,cs
58,2018-09-26,10954,True,Acacia Communications Inc.,ACIA,cs
59,2018-09-26,58,True,SPDR MSCI ACWI IMI,ACIM,et
60,2018-09-26,11879,True,AC Immune SA,ACIU,cs
61,2018-09-26,59,True,ACI Worldwide Inc.,ACIW,cs
62,2018-09-26,60,True,Axcelis Technologies Inc.,ACLS,cs
63,2018-09-26,61,True,AECOM,ACM,cs
64,2018-09-26,13392,True,ACM Research Inc.,ACMR,cs
65,2018-09-26,63,True,Accenture plc Class A (Ireland),ACN,cs
66,2018-09-26,64,True,ACNB Corporation,ACNB,cs
67,2018-09-26,66,True,Acorda Therapeutics Inc.,ACOR,cs
68,2018-09-26,67,True,Aberdeen Income Credit Strategies Fund,ACP,cs
69,2018-09-26,69,True,Ares Commercial Real Estate Corporation,ACRE,cs
70,2018-09-26,10410,True,Aclaris Therapeutics Inc.,ACRS,cs
71,2018-09-26,70,True,AcelRx Pharmaceuticals Inc.,ACRX,cs
72,2018-09-26,12028,True,American Customer Satisfaction,ACSI,N/A
73,2018-09-26,71,True,Acasti Pharma Inc.,ACST,cs
74,2018-09-26,13895,True,AdvisorShares Vice ETF,ACT,N/A
75,2018-09-26,73,True,Acacia Research Corporation,ACTG,cs
76,2018-09-26,76,True,Acme United Corporation.,ACU,cs
77,2018-09-26,10012,True,AllianzGI Diversified Income & Convertible Fund of Beneficial Interest,ACV,cs
78,2018-09-26,9946,True,iShares Edge MSCI Multifactor Global,ACWF,N/A
79,2018-09-26,79,True,iShares MSCI ACWI Index Fund,ACWI,et
80,2018-09-26,80,True,iShares Edge MSCI Min Vol Global,ACWV,et
81,2018-09-26,81,True,iShares MSCI ACWI ex US Index Fund,ACWX,et
82,2018-09-26,82,True,Acxiom Holdings Inc.,ACXM,cs
83,2018-09-26,83,True,AeroCentury Corp.,ACY,cs
84,2018-09-26,9962,True,Adaptimmune Therapeutics plc,ADAP,cs
85,2018-09-26,85,True,Adobe Systems Incorporated,ADBE,cs
86,2018-09-26,86,True,Agree Realty Corporation,ADC,cs
87,2018-09-26,89,True,Advanced Emissions Solutions Inc.,ADES,cs
88,2018-09-26,93,True,Analog Devices Inc.,ADI,cs
89,2018-09-26,13359,True,Adial Pharmaceuticals Inc,ADIL,cs
90,2018-09-26,14873,True,Adial Pharmaceuticals Inc Warrant,ADILW,N/A
91,2018-09-26,96,True,Archer-Daniels-Midland Company,ADM,cs
92,2018-09-26,9483,True,ADMA Biologics Inc,ADMA,cs
93,2018-09-26,8158,True,Adamis Pharmaceuticals Corporation,ADMP,cs
94,2018-09-26,8476,True,Adamas Pharmaceuticals Inc.,ADMS,cs
95,2018-09-26,11802,True,Adient plc,ADNT,cs
96,2018-09-26,13022,True,ADOMANI Inc.,ADOM,cs
97,2018-09-26,98,True,Automatic Data Processing Inc.,ADP,cs
98,2018-09-26,99,True,Invesco BLDRS Asia 50 ADR Index Fund,ADRA,et
99,2018-09-26,100,True,Invesco BLDRS Developed Markets 100 ADR Index Fund,ADRD,et
100,2018-09-26,101,True,Invesco BLDRS Emerging Markets 50 ADR Index Fund,ADRE,et
101,2018-09-26,9823,True,Aduro Biotech Inc.,ADRO,cs
102,2018-09-26,102,True,Invesco BLDRS Europe Select ADR Index Fund,ADRU,et
103,2018-09-26,103,True,Alliance Data Systems Corporation,ADS,cs
104,2018-09-26,104,True,Autodesk Inc.,ADSK,cs
105,2018-09-26,10650,True,Advanced Disposal Services Inc.,ADSW,cs
106,2018-09-26,13952,True,ADT Inc.,ADT,cs
107,2018-09-26,106,True,ADTRAN Inc.,ADTN,cs
108,2018-09-26,107,True,Addus HomeCare Corporation,ADUS,cs
109,2018-09-26,8910,True,Adverum Biotechnologies Inc.,ADVM,cs
110,2018-09-26,109,True,Adams Diversified Equity Fund Inc.,ADX,cs
111,2018-09-26,8016,True,Advaxis Inc.,ADXS,cs
112,2018-09-26,8017,True,Advaxis Inc. Warrants,ADXSW,N/A
113,2018-09-26,111,True,Adams Resources & Energy Inc.,AE,cs
114,2018-09-26,14576,True,AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands),AEB,bo
115,2018-09-26,14577,True,AEGON N.V. Perp. Cap. Securities (Netherlands),AED,bo
116,2018-09-26,113,True,Ameren Corporation,AEE,cs
117,2018-09-26,1193,True,Aberdeen Emerging Markets Equity Income Fund Inc.,AEF,cs
118,2018-09-26,114,True,AEGON N.V.,AEG,cs
119,2018-09-26,115,True,Aegion Corp,AEGN,cs
120,2018-09-26,14578,True,AEGON N.V. Perp. Cap Secs.,AEH,bo
121,2018-09-26,117,True,Aehr Test Systems,AEHR,cs
122,2018-09-26,118,True,Advanced Energy Industries Inc.,AEIS,cs
123,2018-09-26,119,True,American Equity Investment Life Holding Company,AEL,cs
124,2018-09-26,120,True,Agnico Eagle Mines Limited,AEM,cs
125,2018-09-26,10300,True,Aethlon Medical Inc.,AEMD,cs
126,2018-09-26,121,True,American Eagle Outfitters Inc.,AEO,cs
127,2018-09-26,122,True,American Electric Power Company Inc.,AEP,cs
128,2018-09-26,124,True,Aercap Holdings N.V.,AER,cs
